date,count_all,count_nullID
2014-03-15,304949,1283
2014-03-16,123252,543
2014-03-17,1709894,21411
2014-03-18,14783667,156096
2014-03-19,7258822,64727
2014-03-20,1538798,10832
2014-03-21,6180587,97985
2014-03-22,3334544,35256
2014-03-28,2857286,42910
2014-03-30,3535451,62381
2014-03-31,4905774,66436
2014-04-05,6041732,94787
2014-04-06,6977509,302410
2014-04-07,4754360,83827
2014-04-08,10673800,353343
2014-04-12,18133408,431621
2014-04-13,19095627,255518
2014-04-14,21050631,397739
2014-04-15,839110,8803
2014-04-16,41128946,841783
2014-04-17,18170421,278293
2014-04-18,8747655,254167
2014-04-19,4743569,132109
2014-04-20,7342213,88393
2014-04-21,8230708,295860
2014-04-22,10246572,295382
2014-04-23,9575263,324521
2014-04-24,8411793,209737
2014-04-25,709900,7850
2014-04-27,5489804,42048
2014-04-28,11067554,530783
2014-04-30,425745,7010
2014-05-31,655495,12412
2014-06-16,1765081,14619
2014-06-17,4812656,64863
2014-06-18,24427718,318804
2014-06-19,3683839,114837
2014-06-20,4910776,68144
2014-06-21,7733616,205320
2014-06-22,3905181,66809
2014-06-23,1520655,13318
2014-06-25,29970439,412920
2014-06-26,45900690,730190
2014-06-27,30142129,302087
2014-06-28,55036,386
2014-06-30,889195,15725
2014-07-01,423283,2828
2014-07-02,26316357,692758
2014-07-03,24447491,364087
2014-07-04,26411190,662871
2014-07-07,35224452,542849
2014-07-08,29552139,368698
2014-07-09,7897248,61403
2014-07-11,5798320,46973
2014-07-12,404905,3624
2014-07-13,3418851,47226
2014-07-16,4817757,31069
2014-07-18,973391,10618
2014-07-19,31062182,336296
2014-07-20,7551680,102279
2014-07-21,1670942,20372
2014-07-22,33619655,502731
2014-07-23,41692,218
2014-07-24,239867,1973
2014-07-29,49435137,1031463
2014-07-30,62324112,1703614
2014-07-31,46320706,972765
2014-08-01,16736330,253487
2014-08-02,35770406,755024
2014-08-03,36468740,780229
2014-08-04,13730553,299862
2014-08-05,5684138,93267
2014-08-06,11483009,386662
2014-08-07,6727776,128670
2014-08-08,11478341,177946
2014-08-09,24146324,499380
2014-08-10,22443240,546892
2014-08-11,18340105,294568
2014-08-12,22715340,439617
2014-08-27,7333255,74750
2014-08-28,12318140,112797
2014-08-29,8998158,291773
2014-08-30,9883006,318564
2014-08-31,5517095,67061
2014-09-01,2315644,17553
2014-09-02,479612,4338
2014-09-03,942819,13246
2014-09-04,338523,4529
2014-09-05,58570,670
2014-09-07,6532531,550445
2014-09-20,56403,1518
2014-09-21,8099,228
2014-09-22,444899,16510
2014-09-23,4003020,248690
2014-09-26,1968859,28810
2014-09-27,134558,4795
2014-09-28,91603,4058
2014-10-04,42492,417
2014-10-07,294925,3319
2014-10-08,799356,11158
2014-10-09,1218655,16181
2014-10-10,1387200,15677
2014-10-11,627165,5618
2014-10-12,996060,11229
2014-10-15,1254559,14520
2014-10-16,2858514,86081
2014-10-17,1899329,45463
2014-10-21,77440,5455
2014-10-22,1107341,21957
2014-10-23,1109214,17413
2014-10-24,2456855,97764
2014-10-25,2435443,90380
2014-10-26,694581,18539
2014-10-27,409553,9573
2014-10-28,2729827,52766
2014-10-29,2675212,63354
2014-10-30,3072491,106922
2014-10-31,785838,27662
2014-11-01,1214720,15805
2014-11-03,186737,3492
2014-11-04,4846230,105794
2014-11-05,2440018,32324
2014-11-06,3805923,45448
2014-11-07,2838577,35046
2014-11-08,7047082,220886
2014-11-09,7516966,266572
2014-11-10,3355619,102878
2014-11-11,2104902,42809
2014-11-12,214312,1595
2014-11-13,537799,9158
2014-11-14,349103,8521
2014-11-15,206726,1612
2014-11-18,847262,11590
2014-11-19,1772056,35611
2014-11-20,1991,41
2014-11-21,1591837,21793
2014-11-22,815797,18935
2014-11-23,30752,323
2014-11-25,204609,712
2014-11-26,9922583,297176
2014-11-27,553599,6258
2014-11-28,5620357,121185
2014-12-02,331052,2246
2014-12-04,616198,16491
2014-12-06,4422,39
2014-12-07,150729,3287
