image_id,count
20140315153609,1497
20140315153710,1918
20140315153750,8679
20140315153822,13549
20140315153848,14943
20140315153919,18681
20140315153959,731
20140315154100,636
20140315154141,2819
20140315154207,5876
20140315154233,12196
20140315154304,7942
20140315154351,9103
20140315154452,9939
20140315154533,49200
20140315154603,60423
20140315154629,86817
20140316095356,2636
20140316095457,3159
20140316095545,3946
20140316095746,2708
20140316095846,1720
20140316095948,2225
20140316105742,710
20140316105843,1102
20140316110856,709
20140316110957,1301
20140316125514,1196
20140316174032,9203
20140316174233,4270
20140316174334,5206
20140316174510,69234
20140316180644,2223
20140316181810,3710
20140316181910,4154
20140316183014,3840
20140317094917,7906
20140317095059,29560
20140317095125,38477
20140317095155,55899
20140317095225,50634
20140317095306,6049
20140317095448,25473
20140317095520,39614
20140317095546,50725
20140317095617,44084
20140317095657,3751
20140317095903,3138
20140317100023,3115
20140317100204,9818
20140317100806,82700
20140317101007,10097
20140317101348,17850
20140317101419,24100
20140317101445,34570
20140317101516,30699
20140317101557,2699
20140317101739,13369
20140317101809,19264
20140317101835,29277
20140317101905,27462
20140317101946,2420
20140317102129,11928
20140317102155,17566
20140317102225,24688
20140317102256,27186
20140317102519,6829
20140317102549,13313
20140317102614,19015
20140317102645,19865
20140317102726,2517
20140317102826,3089
20140317102907,13045
20140317102937,18290
20140317103003,29783
20140317103034,27446
20140317103316,1848
20140317103458,10822
20140317103524,15030
20140317103550,21669
20140317103621,23315
20140317104404,2311
20140317104546,9755
20140317104616,16285
20140317104641,22892
20140317104712,20649
20140317104753,2194
20140317104935,9470
20140317105005,15470
20140317105031,20975
20140317105102,22258
20140317105324,13599
20140317105356,18340
20140317105422,28797
20140317105453,25990
20140317105534,3982
20140317105635,4840
20140317105716,18271
20140317105746,23505
20140317105812,31388
20140317105843,27440
20140317105924,4741
20140317110025,4959
20140317110105,18873
20140317110135,22125
20140317110201,28299
20140317110233,25310
20140317110313,4146
20140317110414,3807
20140317110455,13411
20140317110524,14801
20140317110550,20882
20140317110621,18519
20140317110702,4603
20140317110802,4414
20140317110843,11724
20140317110913,16202
20140317110939,22871
20140317111010,21428
20140317111051,3143
20140317111151,2654
20140317111232,9305
20140317111303,11116
20140317111329,13974
20140317111400,12913
20140317111441,2537
20140317111542,2632
20140317111623,8282
20140317111648,10175
20140317111714,10883
20140317111745,11995
20140317111826,2182
20140317111927,2243
20140317112007,6440
20140317112037,7945
20140317112123,10315
20140317112154,11640
20140318094944,17568
20140318095025,61479
20140318095056,57319
20140318095121,62528
20140318095152,71963
20140318095232,15235
20140318095333,14400
20140318095414,41834
20140318095440,56469
20140318095506,50307
