date,count
2014-03-15,304949
2014-03-16,123252
2014-03-17,1709894
2014-03-18,14783667
2014-03-19,7258822
2014-03-20,1538798
2014-03-21,6180587
2014-03-22,3334544
2014-03-28,2857286
2014-03-30,3535451
2014-03-31,4905774
2014-04-05,6041732
2014-04-06,6977509
2014-04-07,4754360
2014-04-08,10673800
2014-04-12,18133408
2014-04-13,19095627
2014-04-14,21050631
2014-04-15,839110
2014-04-16,41128946
2014-04-17,18170421
2014-04-18,8747655
2014-04-19,4743569
2014-04-20,7342213
2014-04-21,8230708
2014-04-22,10246572
2014-04-23,9575263
2014-04-24,8411793
2014-04-25,709900
2014-04-27,5489804
2014-04-28,11067554
2014-04-30,425745
2014-05-31,655495
2014-06-16,1765081
2014-06-17,4812656
2014-06-18,24427718
2014-06-19,3683839
2014-06-20,4910776
2014-06-21,7733616
2014-06-22,3905181
2014-06-23,1520655
2014-06-25,29970439
2014-06-26,45900690
2014-06-27,30142129
2014-06-28,55036
2014-06-30,889195
2014-07-01,423283
2014-07-02,26316357
2014-07-03,24447491
2014-07-04,26411190
2014-07-07,35224452
2014-07-08,29552139
2014-07-09,7897248
2014-07-11,5798320
2014-07-12,404905
2014-07-13,3418851
2014-07-16,4817757
2014-07-18,973391
2014-07-19,31062182
2014-07-20,7551680
2014-07-21,1670942
2014-07-22,33619655
2014-07-23,41692
2014-07-24,239867
2014-07-29,49435137
2014-07-30,62324112
2014-07-31,46320706
2014-08-01,16736330
2014-08-02,35770406
2014-08-03,36468740
2014-08-04,13730553
2014-08-05,5684138
2014-08-06,11483009
2014-08-07,6727776
2014-08-08,11478341
2014-08-09,24146324
2014-08-10,22443240
2014-08-11,18340105
2014-08-12,22715340
2014-08-27,7333255
2014-08-28,12318140
2014-08-29,8998158
2014-08-30,9883006
2014-08-31,5517095
2014-09-01,2315644
2014-09-02,479612
2014-09-03,942819
2014-09-04,338523
2014-09-05,58570
2014-09-07,6532531
2014-09-20,56403
2014-09-21,8099
2014-09-22,444899
2014-09-23,4003020
2014-09-26,1968859
2014-09-27,134558
2014-09-28,91603
2014-10-04,42492
2014-10-07,294925
2014-10-08,799356
2014-10-09,1218655
2014-10-10,1387200
2014-10-11,627165
2014-10-12,996060
2014-10-15,1254559
2014-10-16,2858514
2014-10-17,1899329
2014-10-21,77440
2014-10-22,1107341
2014-10-23,1109214
2014-10-24,2456855
2014-10-25,2435443
2014-10-26,694581
2014-10-27,409553
2014-10-28,2729827
2014-10-29,2675212
2014-10-30,3072491
2014-10-31,785838
2014-11-01,1214720
2014-11-03,186737
2014-11-04,4846230
2014-11-05,2440018
2014-11-06,3805923
2014-11-07,2838577
2014-11-08,7047082
2014-11-09,7516966
2014-11-10,3355619
2014-11-11,2104902
2014-11-12,214312
2014-11-13,537799
2014-11-14,349103
2014-11-15,206726
2014-11-18,847262
2014-11-19,1772056
2014-11-20,1991
2014-11-21,1591837
2014-11-22,815797
2014-11-23,30752
2014-11-25,204609
2014-11-26,9922583
2014-11-27,553599
2014-11-28,5620357
2014-12-02,331052
2014-12-04,616198
2014-12-06,4422
2014-12-07,150729
2014-12-08,2297094
2014-12-09,11288776
2014-12-12,43049
2014-12-13,4407230
2014-12-14,9153568
2014-12-15,16302040
2014-12-16,22428715
2014-12-17,180263
2014-12-18,20128343
2014-12-19,16857679
2014-12-20,14903930
2014-12-21,3885893
2014-12-23,1353762
2014-12-24,3154
2014-12-29,14617868
2014-12-30,13234335
2014-12-31,12451399
2015-01-01,4309243
2015-01-02,5871871
2015-01-05,285203
2015-01-06,6867155
2015-01-07,2678888
2015-01-08,7609515
2015-01-14,1496832
2015-01-15,16726524
2015-01-16,20250030
2015-01-17,18042249
2015-01-18,17240703
2015-01-24,1615
2015-01-25,2093981
2015-01-28,2829324
2015-01-29,14123585
2015-01-30,8144687
2015-01-31,14983543
2015-02-01,13903455
2015-02-03,2536209
2015-02-04,6735272
2015-02-05,8599571
2015-02-06,11001312
2015-02-07,19188823
2015-02-08,5959875
2015-02-09,31906
2015-02-10,197119
2015-02-11,12325719
2015-02-13,286978
2015-02-14,206933
2015-02-15,3307739
2015-02-16,5792298
2015-02-17,7621335
2015-02-18,3052533
2015-02-22,1779365
2015-02-23,12023996
2015-02-26,589806
2015-02-27,3001308
2015-03-01,81734
2015-03-02,7372687
2015-03-04,1444641
2015-03-05,2997261
2015-03-06,11209288
2015-03-07,689098
2015-03-08,23368998
2015-03-09,34414477
2015-03-10,19094830
2015-03-11,1784129
2015-03-12,9401249
2015-03-13,608586
2015-03-14,4006472
2015-03-15,5332366
2015-03-16,8098406
2015-03-18,887743
2015-03-19,331387
2015-03-20,2925541
2015-03-21,567528
2015-03-22,129113
2015-03-25,29274506
2015-03-26,22483984
2015-03-27,33432532
